terminology,code,description,phenotype,subphenotype
snomed,216904007,Foreign object left in body during kidney dialysis,renal_replacement_therapy,dialysis


snomed,216904007,Acute rejection of renal transplant - grade i,renal_replacement_therapy,transplant


snomed,216878005,"Accidental cut, puncture, perforation or haemorrhage during kidney dialysis​",renal_replacement_therapy,dialysis


snomed,213150003,Kidney transplant failure and rejection (disorder),renal_replacement_therapy,transplant


snomed,197747000,Renal tubulo - interstitial disorders in transplant rejection (disorder),renal_replacement_therapy,transplant


snomed,175902000,Cadaveric renal transplant (procedure),renal_replacement_therapy,transplant


snomed,175901007,Live donor renal transplant (procedure),renal_replacement_therapy,transplant


snomed,161693006,H/O: kidney dialysis,renal_replacement_therapy,dialysis


snomed,116223007,"Kidney dialysis with complication, without blame​",renal_replacement_therapy,dialysis


snomed,115500004,Post-dialysis,renal_replacement_therapy,dialysis


snomed,108241001,Dialysis procedure​,renal_replacement_therapy,dialysis


snomed,105502003,Dependence on renal dialysis (finding),renal_replacement_therapy,dialysis


snomed,87235005,Dialysis disequilibrium,renal_replacement_therapy,dialysis


snomed,71192002,Peritoneal dialysis (procedure),renal_replacement_therapy,dialysis


snomed,70536003,Transplant of kidney (procedure),renal_replacement_therapy,transplant


snomed,68341005,Hemodialysis supervision at home (procedure),renal_replacement_therapy,dialysis


snomed,67970008,Hemodialysis maintenance at home (procedure),renal_replacement_therapy,dialysis


snomed,67970008,"Haemodialysis, maintenance at home",renal_replacement_therapy,dialysis


snomed,58797008,Complication of transplanted kidney (disorder),renal_replacement_therapy,transplant


snomed,57274006,Initial hemodialysis (procedure),renal_replacement_therapy,dialysis


snomed,52213001,Renal homotransplantation excluding donor and recipient nephrectomy (procedure),renal_replacement_therapy,transplant


snomed,33461007,Complication of peritoneal dialysis (disorder),renal_replacement_therapy,dialysis


snomed,19765000,Complication of dialysis,renal_replacement_therapy,dialysis


snomed,14684005,Peritoneal dialysis excluding cannulation (procedure),renal_replacement_therapy,dialysis


snomed,9345005,Dialysis dementia,renal_replacement_therapy,dialysis


snomed,676002,Peritoneal dialysis including cannulation (procedure),renal_replacement_therapy,dialysis


opcs4,M012,Allotransplantation of kidney from live donor,renal_replacement_therapy,transplant


opcs4,M013,Allotransplantation of kidney from cadaver NEC,renal_replacement_therapy,transplant


opcs4,M014,Allotransplantation of kidney from cadaver heart beating,renal_replacement_therapy,transplant


opcs4,M015,Allotransplantation of kidney from cadaver heart non-beating,renal_replacement_therapy,transplant


opcs4,M018,Other specified transplantation of kidney,renal_replacement_therapy,transplant


opcs4,M019,Unspecified transplantation of kidney,renal_replacement_therapy,transplant


opcs4,M174,Post-transplantation of kidney examination - recipient,renal_replacement_therapy,transplant


opcs4,M178, Other specified interventions associated with transplantation of kidney,renal_replacement_therapy,transplant


opcs4,M179,Unspecified interventions associated with transplantation of kidney,renal_replacement_therapy,transplant
